violation_address,quadrant,zipcode,lat,long
306 EVARTS ST NE,NE,20002,38.924758,-77.001325
311 DIVISION AVE NE,NE,20019,38.89408,-76.926881
316 F ST NE,NE,20002,38.897611,-77.001392
300 37TH ST SE,SE,20019,38.885613,-76.952712
306 37TH ST SE,SE,20019,38.885342,-76.95262
312 37TH ST SE,SE,20019,38.885195,-76.952465
324 37TH ST SE,SE,20019,38.884895,-76.952139
336 37TH ST SE,SE,20019,38.884594,-76.951821
389 RHODE ISLAND AVE NW,NW,20001,38.914347,-77.016862
400 CHESAPEAKE ST SE,SE,20032,38.829379,-77.000264
405 34TH ST SE,SE,20019,38.884134,-76.957791
411 ATLANTIC ST SE,SE,20032,38.830751,-77.000068
411 2ND ST SE,SE,20003,38.884732,-77.0038
412 20TH ST NE,NE,20002,38.895249,-76.976452
416 NEWCOMB ST SE,SE,20032,38.847748,-77.002055
423 BURBANK ST SE,SE,20019,38.883964,-76.943441000000007
424 11TH ST NE,NE,20002,38.89551,-76.991789
425 ATLANTIC ST SE,SE,20032,38.830768,-76.999388
428 BRANDYWINE ST SE,SE,20032,38.83032,-76.999299
433 KENNEDY ST NW,NW,20011,38.956665,-77.019198
440 R ST NW,NW,20001,38.912376,-77.018175
450 CONDON TER SE,SE,20032,38.832657,-76.998722
516 RALEIGH ST SE,SE,20032,38.844238,-76.998949
541 NEWCOMB ST SE,SE,20032,38.845544,-76.999249
601 24TH ST NW,NW,20037,38.89808,-77.051139
604 KENNEDY ST NW,NW,20011,38.956236,-77.021218
608 44TH ST NE,NE,20019,38.89784,-76.939509
636 12TH ST NE,NE,20002,38.898382,-76.990613
646 CHESAPEAKE ST SE,SE,20032,38.829461,-76.996786
900 7TH ST SW,SW,20024,38.878914,-77.021867
700 51ST ST NE,NE,20019,38.898567,-76.927654
704 51ST ST NE,NE,20019,38.898705,-76.927654
706 BRANDYWINE ST SE,SE,20032,38.830307,-76.995749
5128 SHERIFF RD NE,NE,20019,38.903969,-76.925141
5134 SHERIFF RD NE,NE,20019,38.904011,-76.924888
724 31ST ST SE,SE,20019,38.879216,-76.962868
730 TAYLOR ST NW,NW,20011,38.940695,-77.022952
743 FAIRMONT ST NW,NW,20001,38.925254,-77.024215
800 SOUTHERN AVE SE,SE,20032,38.827357,-76.99464
806 LONGFELLOW ST NW,NW,20011,38.957171,-77.0245
815 MARYLAND AVE NE,NE,20002,38.895358,-76.994189
920 U ST NW,NW,20001,38.916793,-77.024915
919 SHERIDAN ST NW,NW,20011,38.966339,-77.027033
933 52ND ST NE,NE,20019,38.903378,-76.924815
945 LONGFELLOW ST NW,NW,20011,38.957556,-77.027469
950 SOUTHERN AVE SE,SE,20032,38.831854,-76.988002
1000 47TH PL NE,NE,20019,38.903815,-76.934724
1001 16TH ST NE,NE,20002,38.903162,-76.982298
1026 4TH ST NE,NE,20002,38.903472,-77.0008
1026 16TH ST NE,NE,20002,38.903916,-76.982188
1035 48TH ST NE,NE,20019,38.904138,-76.933461
1070 THOMAS JEFFERSON ST NW,NW,20007,38.904579,-77.060434
1148 OATES ST NE,NE,20002,38.90594,-76.988868
1148 OWEN PL NE,NE,20002,38.906448,-76.988516
1211 18TH PL NE,NE,20002,38.906064,-76.976959
1215 PENN ST NE,NE,20002,38.906046,-76.986952
1219 K ST NE,NE,20002,38.902284,-76.989562
1225 CLIFTON ST NW,NW,20009,38.922732,-77.028816
1260 HOLBROOK TER NE,NE,20002,38.906905,-76.984756
1265 MONROE ST NE,NE,20017,38.932425,-76.988898
1300 H ST NE,NE,20002,38.900482,-76.988072
1303 GOOD HOPE RD SE,SE,20020,38.86697,-76.987059
1311 MADISON ST NW,NW,20011,38.958585,-77.03035
1315 ANACOSTIA RD SE,SE,20019,38.875053,-76.965685
1317 35TH ST NW,NW,20007,38.907274,-77.068814
1321 ANACOSTIA RD SE,SE,20019,38.87509,-76.965985
1327 R ST NW,NW,20009,38.91282,-77.030836
1328 14TH ST NW,NW,20005,38.908296,-77.032337
700 O ST NW,NW,20001,38.908343,-77.022271
1330 7TH ST NW,NW,20001,38.908125,-77.022199
1332 VERMONT AVE NW,NW,20005,38.908629,-77.030593
1345 KENYON ST NW,NW,20010,38.929935,-77.031346
1363 PEABODY ST NW,NW,20011,38.963459,-77.032428
1385 NICHOLSON ST NW,NW,20011,38.960382,-77.033122
1402 QUINCY ST NW,NW,20011,38.937731,-77.033364
1416 A ST SE,SE,20003,38.888893,-76.984448
1427 Q ST NW,NW,20009,38.911351,-77.033219
1454 SMITH PL SE,SE,20032,38.845333,-76.983731
1509 T ST SE,SE,20020,38.867024,-76.982721
1516 18TH ST SE,SE,20020,38.87146,-76.978753
1522 V ST SE,SE,20020,38.864745,-76.98283
3625 16TH ST NW,NW,20010,38.937215,-77.036029
1600 INDEPENDENCE AVE SE,SE,20003,38.887775,-76.982023
1600 ISHERWOOD ST NE,NE,20002,38.895654,-76.982042
1676 MARYLAND AVE NE,NE,20002,38.90198,-76.979871
1616 27TH ST SE,SE,20020,38.870105,-76.968662
1350 CORCORAN ST NW,NW,20009,38.912032,-77.031611
1620 21ST PL SE,SE,20020,38.869945,-76.975734
1629 COLUMBIA RD NW,NW,20009,38.926112,-77.037852
1633 E ST NE,NE,20002,38.895939,-76.981123
1644 W ST SE,SE,20020,38.863522,-76.981104
1650 W ST SE,SE,20020,38.863458,-76.98086
1656 W ST SE,SE,20020,38.863422,-76.980648
1645 CONNECTICUT AVE NW,NW,20009,38.912391,-77.044551
1701 28TH ST SE,SE,20020,38.869311,-76.968037
1704 R ST SE,SE,20020,38.869697,-76.980438
1710 28TH PL SE,SE,20020,38.869022,-76.966431
1732 TRINIDAD AVE NE,NE,20002,38.908661,-76.982664
1736 RHODE ISLAND AVE NE,NE,20018,38.927768,-76.979562
1743 GALEN ST SE,SE,20020,38.861688,-76.980485
1751 GALEN ST SE,SE,20020,38.861537,-76.980266
1754 LANIER PL NW,NW,20009,38.924297,-77.04185
1768 U ST NW,NW,20009,38.916785,-77.040899
1810 I ST NE,NE,20002,38.901754,-76.977354
1810 29TH ST SE,SE,20020,38.868111,-76.965588
1810 Q ST SE,SE,20020,38.870994,-76.978526
1811 S ST NW,NW,20009,38.914352,-77.042069
1814 Q ST SE,SE,20020,38.870975,-76.978398
1814 IRVING ST NE,NE,20018,38.929231,-76.978394
1816 IRVING ST NE,NE,20018,38.929485,-76.97827
1815 MINNESOTA AVE SE,SE,20020,38.86966,-76.977861
1820 SWANN ST NW,NW,20009,38.914649,-77.042405
1821 MORRIS RD SE,SE,20020,38.855491,-76.977947
1827 GOOD HOPE RD SE,SE,20020,38.865445,-76.978735
1827 MARION BARRY AVE SE,SE,20020,38.865386,-76.978788
1829 GOOD HOPE RD SE,SE,20020,38.865437,-76.97864
1821 SUMMIT PL NW,NW,20009,38.926385,-77.04203
1822 HARVARD ST NW,NW,20009,38.927019,-77.041988
1825 SUMMIT PL NW,NW,20009,38.926628,-77.04189
1826 HARVARD ST NW,NW,20009,38.92717,-77.042421
1827 SUMMIT PL NW,NW,20009,38.926708,-77.042098
1850 U ST SE,SE,20020,38.864736,-76.978388
1850 KENDALL ST NE,NE,20002,38.912338,-76.98689
1854 KENDALL ST NE,NE,20002,38.91233,-76.987111
1900 IRVING ST NE,NE,20018,38.929305,-76.977727
1900 16TH ST NW,NW,20009,38.915728,-77.036879
1905 2ND ST NE,NE,20002,38.915851,-77.003212
1911 18TH ST SE,SE,20020,38.866707,-76.979312
1920 17TH ST SE,SE,20020,38.866688,-76.980368
26 14TH ST SE,SE,20003,38.888974,-76.98524
2001 11TH ST NW,NW,20001,38.917166,-77.026823
2005 I ST NE,NE,20002,38.90234,-76.974834
2007 WYOMING AVE NW,NW,20009,38.918338,-77.046149
2023 4TH ST NE,NE,20002,38.917801,-77.000247
2066 RHODE ISLAND AVE NE,NE,20018,38.929934,-76.975053
2110 19TH ST NW,NW,20009,38.918036,-77.044609
2111 S ST NW,NW,20008,38.914311,-77.047015
2129 15TH ST NW,NW,20009,38.918942,-77.034274
2214 NICHOLSON ST SE,SE,20020,38.874057,-76.974399
2228 MARTIN LUTHER KING JR AVE SE,SE,20020,38.863365,-76.990599
2323 PENNSYLVANIA AVE SE,SE,20020,38.874133,-76.972748
2321 4TH ST NE,NE,20002,38.920716,-77.000099
2323 GREEN ST SE,SE,20020,38.861905,-76.981945
2335 GREEN ST SE,SE,20020,38.861653,-76.981709
2420 15TH PL SE,SE,20020,38.854532,-76.982561
2426 15TH PL SE,SE,20020,38.854747,-76.982272
2429 18TH ST NW,NW,20009,38.921294,-77.041881
2440 S ST SE,SE,20020,38.868425,-76.971233
2501 NAYLOR RD SE,SE,20020,38.868077,-76.970905
2504 22ND ST NE,NE,20018,38.922708,-76.974395
2507 I ST NW,NW,20037,38.900855,-77.053816
2512 SHERIDAN RD SE,SE,20020,38.860953,-76.99354
2514 SHERIDAN RD SE,SE,20020,38.860864,-76.993528
5740 13TH ST NW,NW,20011,38.959737,-77.029935
2600 NAYLOR RD SE,SE,20020,38.867873,-76.970201
2607 12TH PL SE,SE,20020,38.85093,-76.98575
2608 BOWEN RD SE,SE,20020,38.859343,-76.9925
4228 BENNING RD NE,NE,20019,38.892987,-76.941579
2620 29TH ST SE,SE,20020,38.858299,-76.965066
2620 BOWEN RD SE,SE,20020,38.859538,-76.991959
2701 NORTH CAPITOL ST NE,NE,20002,38.924668,-77.008706
2716 SHERMAN AVE NW,NW,20001,38.925333,-77.026007
2801 15TH ST NW,NW,20009,38.92495,-77.035079
2812 POMEROY RD SE,SE,20020,38.855708,-76.995578
2820 PENNSYLVANIA AVE SE,SE,20020,38.872333,-76.966833
2847 GAINESVILLE ST SE,SE,20020,38.854879,-76.966707
2826 28TH ST SE,SE,20020,38.855383,-76.968674
2853 28TH ST SE,SE,20020,38.855487,-76.969191
2930 KNOX PL SE,SE,20020,38.854264,-76.970558
135 WILMINGTON PL SE,SE,20032,38.835935,-77.004008
3120 MASSACHUSETTS AVE SE,SE,20019,38.878719,-76.962031
436 NEWTON PL NW,NW,20010,38.933938,-77.020006
3126 16TH ST NW,NW,20010,38.929474,-77.036847
3205 D ST SE,SE,20019,38.884228,-76.961117
3213 D ST SE,SE,20019,38.884227,-76.960822
3230 O ST NW,NW,20007,38.907606,-77.064561
3301 15TH ST SE,SE,20032,38.845775,-76.983589
3412 24TH ST SE,SE,20020,38.847516,-76.969637
3435 BROWN ST NW,NW,20010,38.934946,-77.03705
3440 BROWN ST NW,NW,20010,38.935127,-77.037337
3459 MINNESOTA AVE SE,SE,20019,38.885064,-76.956111
3534 EAST CAPITOL ST NE,NE,20019,38.890116,-76.953192
3508 CLAY PL NE,NE,20019,38.893716,-76.951849
1350 R ST NW,NW,20009,38.91245,-77.031468
3555 16TH ST NW,NW,20010,38.936497,-77.03609
3615 B ST SE,SE,20019,38.887352,-76.954127
3620 CONNECTICUT AVE NW,NW,20008,38.937645,-77.060173
3630 BROTHERS PL SE,SE,20032,38.838731,-77.006488
3632 BROTHERS PL SE,SE,20032,38.838823,-77.006688
3639 MARTIN LUTHER KING JR AVE SE,SE,20032,38.838286,-77.006255
3794 MARTIN LUTHER KING JR AVE SE,SE,20032,38.83562,-77.007176
3836 SOUTH CAPITOL ST SE,SE,20032,38.834069,-77.007945
3838 SOUTH CAPITOL ST SE,SE,20032,38.833935,-77.007839
3840 SOUTH CAPITOL ST SE,SE,20032,38.833851,-77.00801
3848 SOUTH CAPITOL ST SE,SE,20032,38.833455,-77.008085
3910 GEORGIA AVE NW,NW,20011,38.939192,-77.025063
3911 1ST ST SE,SE,20032,38.832248,-77.00613
3911 7TH ST NE,NE,20017,38.938714,-76.994786
3921 KANSAS AVE NW,NW,20011,38.939418,-77.027344
3930 1ST ST SE,SE,20032,38.83144,-77.005653
3968 MARTIN LUTHER KING JR AVE SW,SW,20032,38.831843,-77.00935
3984 PENNSYLVANIA AVE SE,SE,20020,38.864536,-76.947766
3986 PENNSYLVANIA AVE SE,SE,20020,38.864449,-76.947521
4000 MASSACHUSETTS AVE NW,NW,20016,38.931377,-77.078786
4010 9TH ST SE,SE,20032,38.832254,-76.990382
4018 SOUTH CAPITOL ST SE,SE,20032,38.830476,-77.007356
4026 9TH ST NE,NE,20017,38.940265,-76.993865
4040 8TH ST NW,NW,20011,38.940613,-77.02351
4001 1ST ST SE,SE,20032,38.831034,-77.006123
4100 GEORGIA AVE NW,NW,20011,38.941023,-77.025777
4230 SOUTH CAPITOL ST SE,SE,20032,38.82828,-77.007418
4203 EDSON PL NE,NE,20019,38.896655,-76.942168
4250 6TH ST SE,SE,20032,38.827304,-76.998215
4257 6TH ST SE,SE,20032,38.827339,-76.998719
4259 6TH ST SE,SE,20032,38.827314,-76.99872
4261 EDSON PL NE,NE,20019,38.896593,-76.940551
4265 6TH ST SE,SE,20032,38.827209,-76.998698
4267 6TH ST SE,SE,20032,38.827184,-76.998701
4301 WHEELER RD SE,SE,20032,38.832476,-76.988496
4305 WHEELER RD SE,SE,20032,38.832273,-76.988538
4309 WHEELER RD SE,SE,20032,38.832309,-76.988269
4313 WHEELER RD SE,SE,20032,38.832285,-76.988033
4318 HALLEY TER SE,SE,20032,38.827058,-77.006424
4400 HUNT PL NE,NE,20019,38.900822,-76.938537
4400 TEXAS AVE SE,SE,20019,38.884182,-76.941721
4401 GAULT PL NE,NE,20019,38.898927,-76.938991
4408 TEXAS AVE SE,SE,20019,38.884504,-76.941348
4412 TEXAS AVE SE,SE,20019,38.884719,-76.941355
4423 GAULT PL NE,NE,20019,38.898915,-76.937974
4425 14TH ST NW,NW,20011,38.944891,-77.032327
4430 MARTIN LUTHER KING JR AVE SW,SW,20032,38.825466,-77.0123
4438 B ST SE,SE,20019,38.887812,-76.938435
4510 GEORGIA AVE NW,NW,20011,38.945375,-77.026776
4524 IOWA AVE NW,NW,20011,38.945695,-77.029441
4480 C ST SE,SE,20019,38.886713,-76.936573
4559 BENNING RD SE,SE,20019,38.887174,-76.936706
4569 BENNING RD SE,SE,20019,38.886928,-76.936592
4569 MACARTHUR NONE NW,NW,20007,38.909802,-77.088052
4625 BENNING RD SE,SE,20019,38.88552,-76.936365
4661 BENNING RD SE,SE,20019,38.885017,-76.935755
4665 BENNING RD SE,SE,20019,38.884829,-76.935761
4667 BENNING RD SE,SE,20019,38.884744,-76.935833
4693 BENNING RD SE,SE,20019,38.883988,-76.935473
4635 HILLSIDE RD SE,SE,20019,38.876264,-76.93235
4641 HILLSIDE RD SE,SE,20019,38.876264,-76.931958
4647 HILLSIDE RD SE,SE,20019,38.876266,-76.931668
4649 HILLSIDE RD SE,SE,20019,38.876264,-76.931503
4730 SOUTHERN AVE SE,SE,20019,38.875891,-76.931551
4800 NANNIE HELEN BURROUGHS AVE NE,NE,20019,38.899119,-76.933448
4935 NANNIE HELEN BURROUGHS AVE NE,NE,20019,38.898093,-76.930335
5012 H ST SE,SE,20019,38.878999,-76.93087
5014 H ST SE,SE,20019,38.878839,-76.930706
5012 BASS PL SE,SE,20019,38.886057,-76.929633
5020 ASTOR PL SE,SE,20019,38.887416,-76.929427
5105 F ST SE,SE,20019,38.881411,-76.928819
5109 F ST SE,SE,20019,38.881369,-76.928548
5133 CALL PL SE,SE,20019,38.883985,-76.927314
5232 NORTH CAPITOL ST NW,NW,20011,38.9544,-77.009363
5320 8TH ST NW,NW,20011,38.954936,-77.024321
5323 CONNECTICUT AVE NW,NW,20015,38.960168,-77.072395
5348 E ST SE,SE,20019,38.881946,-76.925241
5350 E ST SE,SE,20019,38.881929,-76.925072
1833 M ST NE,NE,20002,38.90543,-76.976955
5401 CALL PL SE,SE,20019,38.883559,-76.923825
5405 CALL PL SE,SE,20019,38.883502,-76.923442
5509 NANNIE HELEN BURROUGHS AVE NE,NE,20019,38.898112,-76.92118
5521 COLORADO AVE NW,NW,20011,38.9569,-77.032195
2900 ADAMS MILL RD NW,NW,20009,38.926928,-77.043548
2426 19TH ST NW,NW,20009,38.921623,-77.046253
5611 7TH ST NW,NW,20011,38.95789,-77.022133
5615 NANNIE HELEN BURROUGHS AVE NE,NE,20019,38.898171,-76.919466
5616 13TH ST NW,NW,20011,38.957847,-77.030214
5700 MACARTHUR BLVD NW,NW,20016,38.93259,-77.109417
5920 FOOTE ST NE,NE,20019,38.897329,-76.915499
6003 CLAY ST NE,NE,20019,38.892687,-76.914782
6010 CLAY ST NE,NE,20019,38.893099,-76.914267
6713 14TH ST NW,NW,20012,38.972008,-77.033147
6939 GEORGIA AVE NW,NW,20012,38.974944,-77.026487
903 MASSACHUSETTS AVE NE,NE,20002,38.890756,-76.993264
1228 HOLBROOK ST NE,NE,20002,38.902327,-76.98427
1404 STAPLES ST NE,NE,20002,38.904004,-76.984112
1400 14TH ST NW,NW,20005,38.908979,-77.032234
715 56TH PL NE,NE,20019,38.900219,-76.919314
1845 PROVIDENCE ST NE,NE,20002,38.913507,-76.984863
1218 MISSOURI AVE NW,NW,20011,38.961187,-77.029063
1300 TALBERT CT SE,SE,20020,38.86145,-76.990338
1363 H ST NE,NE,20002,38.900009,-76.986276
4712 3RD PL NW,NW,20011,38.947936,-77.016739
1322 MAIN DR NW,NW,20012,38.973819,-77.030397
5036 ASTOR PL SE,SE,20019,38.887362,-76.928917
1507 TUBMAN RD SE,SE,20020,38.848171,-76.982162
1520 TANNER CT SE,SE,20020,38.847924,-76.981584
3255 STANTON RD SE,SE,20020,38.847872,-76.980935
1500 SHIPPEN LN SE,SE,20020,38.849367,-76.982257
3212 15TH PL SE,SE,20020,38.849503,-76.982248
3215 HENSON RD SE,SE,20020,38.849577,-76.983096
3226 15TH PL SE,SE,20020,38.848782,-76.982336
5003 SHERIFF RD NE,NE,20019,38.903291,-76.930096
1921 GALES ST NE,NE,20002,38.897362,-76.976192
1424 STAPLES ST NE,NE,20002,38.904432,-76.983828
2005 2ND ST NE,NE,20002,38.917089,-77.003166
2406 18TH ST NW,NW,20009,38.920891,-77.042345
2325 15TH ST NW,NW,20009,38.920906,-77.034735
2425 ALABAMA AVE SE,SE,20020,38.851313,-76.971368
5912 13TH ST NW,NW,20011,38.96219,-77.030065
1301 MISSOURI AVE NW,NW,20011,38.961783,-77.029999
1309 MISSOURI AVE NW,NW,20011,38.961854,-77.030305
1315 MISSOURI AVE NW,NW,20011,38.961882,-77.030551
2429 ALABAMA AVE SE,SE,20020,38.851205,-76.971045
2431 ALABAMA AVE SE,SE,20020,38.851516,-76.971049
5906 13TH ST NW,NW,20011,38.96199,-77.030014
28 GIRARD ST NE,NE,20002,38.926194,-77.00763
514 CRITTENDEN ST NW,NW,20011,38.947212,-77.020208
1876 4TH ST NE,NE,20002,38.91519,-77.000839
1545 MONTANA AVE NE,NE,20018,38.921736,-76.982106
6000 13TH ST NW,NW,20011,38.963158,-77.030097
1410 C ST NE,NE,20002,38.893755,-76.98491
1724 21ST ST NW,NW,20009,38.913336,-77.046831
5537 ILLINOIS AVE NW,NW,20011,38.957019,-77.027628000000007
2249 SHANNON PL SE,SE,20020,38.864224,-76.991473
1328 Q ST NW,NW,20009,38.91094,-77.030772
3223 23RD ST SE,SE,20020,38.8506,-76.973654
2844 HARTFORD ST SE,SE,20020,38.854591,-76.966881
3427 O ST NW,NW,20007,38.907888,-77.068759
14 GALVESTON PL SW,SW,20032,38.824527,-77.007793
24 DANBURY ST SE,SE,20032,38.828018,-77.006446
1408 STAPLES ST NE,NE,20002,38.904089,-76.984057
3925 W ST NW,NW,20007,38.919358,-77.07837
44 BATES ST NW,NW,20001,38.910221,-77.010642
1839 TULIP ST NW,NW,20012,38.992707,-77.042544
4630 NEW HAMPSHIRE AVE NW,NW,20011,38.947254,-77.016534
3871 ALABAMA AVE SE,SE,20020,38.86666,-76.949435
127 10TH ST SE,SE,20003,38.887894,-76.992886
2032 NORTH CAPITOL ST NW,NW,20002,38.917923,-77.009392
800 UPSHUR ST NW,NW,20011,38.941759,-77.02353
760 MORTON ST NW,NW,20010,38.931732,-77.025435
4850 JAY ST NE,NE,20019,38.901704,-76.931856
36 LONGFELLOW ST NW,NW,20011,38.957472,-77.010639
700 7TH ST SW,SW,20024,38.880292,-77.021534
812 MARIETTA PL NW,NW,20011,38.959046,-77.024856
5331 4TH ST NW,NW,20011,38.955284,-77.017523
2800 ONTARIO RD NW,NW,20009,38.925198,-77.041577
401 MELLON ST SE,SE,20032,38.848363,-77.002258
1508 16TH ST SE,SE,20020,38.871038,-76.981967
2115 R ST SE,SE,20020,38.869281,-76.975429
19 GALLATIN ST NW,NW,20011,38.95262,-77.009799
1628 ECKINGTON PL NE,NE,20002,38.911995,-77.004821
4870 MACARTHUR BLVD NW,NW,20007,38.917648,-77.097452
1103 QUEEN ST NE,NE,20002,38.907444,-76.988553
621 PARK RD NW,NW,20010,38.93315,-77.022643
1409 STAPLES ST NE,NE,20002,38.90391,-76.983617
2604 17TH ST NE,NE,20018,38.923806,-76.980994
1512 18TH ST SE,SE,20020,38.871558,-76.978754
5025 1ST ST NW,NW,20011,38.951245,-77.011787
1126 49TH ST NE,NE,20019,38.905576,-76.931976
3505 AMES ST NE,NE,20019,38.890463,-76.95482
3509 AMES ST NE,NE,20019,38.890464,-76.954637
3513 AMES ST NE,NE,20019,38.890453,-76.95447
3521 AMES ST NE,NE,20019,38.890452,-76.954117
3525 AMES ST NE,NE,20019,38.890453,-76.953935
3529 AMES ST NE,NE,20019,38.890463,-76.953766
3533 AMES ST NE,NE,20019,38.890464,-76.953583
21 35TH ST NE,NE,20019,38.890456,-76.955038
3517 AMES ST NE,NE,20019,38.890453,-76.954286
2913 UNIVERSITY TER NW,NW,20016,38.92818,-77.096711
1809 RIGGS PL NW,NW,20009,38.913477,-77.042087
1461 HOLBROOK ST NE,NE,20002,38.904441,-76.982408
1917 BENNING RD NE,NE,20002,38.898508,-76.97589
900 SYCAMORE DR SE,SE,20032,38.845615,-76.992951
950 SYCAMORE DR SE,SE,20032,38.845162,-76.992186
1051 OAK DR SE,SE,20032,38.846312,-76.992948
1101 OAK DR SE,SE,20032,38.846507,-76.992086
1101 SYCAMORE DR SE,SE,20032,38.84545,-76.992517
1201 OAK DR SE,SE,20032,38.846303,-76.991679
1251 OAK DR SE,SE,20032,38.84604,-76.991324
1275 OAK DR SE,SE,20032,38.845349,-76.991331
3600 ELY PL SE,SE,20019,38.884013,-76.954584
4217 2ND ST NW,NW,20011,38.942863,-77.013701
200 UNDERWOOD ST NW,NW,20012,38.96844,-77.014428
102 46TH ST SE,SE,20019,38.888704,-76.935802
2124 SUITLAND TER SE,SE,20020,38.862401,-76.949434
1441 FLORIDA AVE NW,NW,20009,38.920021,-77.033252
234 9TH ST SE,SE,20003,38.886518,-76.993504
1123 5TH ST NW,NW,20001,38.904981,-77.018604
125 BATES ST NW,NW,20001,38.910524,-77.013088
177 36TH ST NE,NE,20019,38.892291,-76.952032
521 TUCKERMAN ST NW,NW,20011,38.967475,-77.020781
1317 FAIRMONT ST NW,NW,20009,38.925017,-77.030493
59 GALVESTON PL SW,SW,20032,38.824566,-77.009976
1608 17TH PL SE,SE,20020,38.870327,-76.979659
63 GALVESTON PL SW,SW,20032,38.824562,-77.010095
1618 S ST NW,NW,20009,38.91388,-77.037525
520 11TH ST SE,SE,20003,38.881906,-76.991274
6626 31ST ST NW,NW,20015,38.97643,-77.055768
139 ADAMS ST NW,NW,20001,38.920427,-77.013441
4435 7TH ST NE,NE,20017,38.944161,-76.996594
4000 TUNLAW RD NW,NW,20007,38.925338000000004,-77.080286
3423 5TH ST SE,SE,20032,38.83923,-76.999613
2808 GAINESVILLE ST SE,SE,20020,38.85536,-76.968132
2621 30TH ST SE,SE,20020,38.859031,-76.964489
52 CRITTENDEN ST NE,NE,20011,38.948452,-77.006951
1125 MARYLAND AVE NE,NE,20002,38.896778,-76.990777
1114 QUEEN ST NE,NE,20002,38.907488,-76.987709
3430 MINNESOTA AVE SE,SE,20019,38.885341,-76.956579
4638 HILLSIDE RD SE,SE,20019,38.876712,-76.932525
4532 EADS ST NE,NE,20019,38.895361,-76.93625
1845 A ST SE,SE,20003,38.888459,-76.977444
6645 GEORGIA AVE NW,NW,20012,38.971212,-77.026799
1366 KENYON ST NW,NW,20010,38.929406,-77.031608
1706 16TH ST SE,SE,20020,38.869066,-76.982016
